index,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1577509,155,CASH_OUT,427818.23,C1431817875,198219,0,C2131020093,0,427818.23,0,0
3869859,283,CASH_IN,68154.77,C397915380,2884459.21,2952613.98,C105277746,1030035.29,961880.52,0,0
5516324,380,CASH_OUT,80828.54,C809484944,0,0,C226553176,5149991.49,5230820.04,0,0
5490462,380,TRANSFER,106069.89,C1857104283,301258,195188.11,C1759851095,263816.83,369886.72,0,0
5606765,394,PAYMENT,34530.86,C1774638089,200755,166224.14,M1074240731,0,0,0,0
1479376,141,PAYMENT,22482.14,C581406908,0,0,M1135058266,0,0,0,0
4225144,306,CASH_OUT,402832.9,C1539922031,11665,0,C1749905333,28550.98,431383.87,0,0
5205964,370,CASH_IN,97679.51,C1484305626,50924,148603.51,C2035529986,0,0,0,0
4084521,301,PAYMENT,6875.7,C1084926500,0,0,M1829011769,0,0,0,0
2936731,229,PAYMENT,14993.77,C639039702,0,0,M1688837356,0,0,0,0
5150665,357,PAYMENT,3554.46,C541147503,120219.06,116664.6,M1603110045,0,0,0,0
6112743,526,PAYMENT,3333.34,C1906205402,695,0,M607324815,0,0,0,0
5544012,382,CASH_OUT,34643.49,C818853137,0,0,C14132216,346081.41,380724.9,0,0
6348727,695,CASH_IN,265668.75,C2115945369,793435.83,1059104.58,C1973220371,1173034.26,907365.51,0,0
5285788,372,PAYMENT,16267.86,C1246769263,15980,0,M670951259,0,0,0,0
2442743,203,CASH_OUT,90439.05,C202323982,5621,0,C1661332921,0,90439.05,0,0
6075034,517,CASH_OUT,173235.36,C1992631718,0,0,C2037085591,403385.82,576621.17,0,0
428137,18,PAYMENT,5223.23,C906554492,7670.43,2447.2,M24862359,0,0,0,0
6002756,428,CASH_OUT,148337.14,C1662504666,590,0,C2025769108,0,148337.14,0,0
477930,19,PAYMENT,27266.55,C1477102562,520228.09,492961.54,M1254181831,0,0,0,0
5997411,426,PAYMENT,13201.92,C1538306642,261509.09,248307.17,M1265219287,0,0,0,0
1647099,157,CASH_IN,71393.87,C854390906,3356107.69,3427501.55,C262088824,777640.9,706247.04,0,0
1861631,164,CASH_IN,317442.28,C653725482,8280910.33,8598352.62,C2082542933,346295.52,28853.24,0,0
3067441,235,CASH_IN,19560.15,C1257622002,50648,70208.15,C1417694050,704659.94,685099.79,0,0
2308695,188,CASH_OUT,183366.26,C1046120196,506508,323141.74,C1539112189,8587151.52,8770517.78,0,0
5234329,371,TRANSFER,49774.95,C1062492373,2065,0,C1602118395,623813.78,673588.73,0,0
5794097,401,PAYMENT,6121.37,C279992313,84725.96,78604.59,M153101899,0,0,0,0
292581,15,PAYMENT,15079.44,C397038386,0,0,M594978555,0,0,0,0
4602624,329,TRANSFER,347005.99,C1441639627,0,0,C1560166024,801510.66,1148516.65,0,0
503368,20,CASH_IN,375284.81,C1167765256,10528,385812.81,C672747405,1753567.92,1378283.11,0,0
3753867,279,CASH_IN,102497.31,C793689736,47867,150364.31,C1414925479,184193.47,81696.16,0,0
2902189,228,CASH_OUT,40133.57,C169805430,0,0,C358821985,2454558.77,2494692.34,0,0
4827875,347,CASH_OUT,445433.53,C1485644109,64873,0,C1872145270,0,513140.56,0,0
4133092,302,CASH_OUT,184992.16,C26135543,59698,0,C1565959694,92517.38,277509.54,0,0
3599037,263,CASH_IN,110149.8,C1606977416,2881301.97,2991451.77,C1103627433,208806.52,98656.71,0,0
267525,15,CASH_OUT,383685.12,C1412143485,6025,0,C2039196419,0,202560.67,0,0
4261924,306,CASH_IN,230038.11,C268560921,10018569.84,10248607.94,C2058547621,370165.68,140127.57,0,0
5211537,370,CASH_IN,54704.65,C1803129699,9529,64233.65,C1353287538,0,0,0,0
3558013,260,PAYMENT,8155.64,C1409559569,167705,159549.36,M357994722,0,0,0,0
5294056,373,CASH_OUT,43491.05,C1238035289,0,0,C1633117412,5496667.98,5540159.03,0,0
160825,12,PAYMENT,1120.34,C106979366,0,0,M690038912,0,0,0,0
6011268,448,CASH_IN,128138.94,C1038736932,689065.97,817204.91,C721420419,19438530.08,19310391.14,0,0
746073,38,CASH_IN,120907.28,C1489204650,6873437.42,6994344.71,C872715148,322062.54,201155.25,0,0
5815855,401,CASH_IN,88667.78,C1632913240,2505110.2,2593777.98,C992785523,110036.28,21368.5,0,0
405463,18,CASH_OUT,89499.56,C1746153846,0,0,C158809706,121289.45,210789.01,0,0
1543810,154,PAYMENT,19008.22,C104052214,5129,0,M606227501,0,0,0,0
5852867,402,CASH_OUT,164253.24,C859300182,0,0,C1322265721,403942.18,568195.43,0,0
97309,10,PAYMENT,30475.16,C70791678,78792,48316.84,M1509649509,0,0,0,0
1283997,135,CASH_IN,30861.36,C1070206761,6933910.29,6964771.64,C35918353,407802.82,376941.47,0,0
4503003,325,CASH_OUT,319767.96,C2101619404,320,0,C888882831,0,319767.96,0,0
106513,10,PAYMENT,9084.06,C1609100494,51678,42593.94,M1324370653,0,0,0,0
3564323,260,TRANSFER,64463.18,C1963266496,203215,138751.82,C537123289,0,64463.18,0,0
1038027,94,PAYMENT,28524.32,C1526532062,29028.01,503.68,M1546186464,0,0,0,0
5822800,402,PAYMENT,6702.89,C602298470,0,0,M1065780823,0,0,0,0
1273136,135,CASH_OUT,13034.9,C1777939264,20262,7227.1,C1891127827,100617.52,113652.42,0,0
5088674,355,PAYMENT,27349.04,C383761613,10422,0,M1626714963,0,0,0,0
6220204,589,TRANSFER,439488.16,C296485647,0,0,C979932157,703700.99,1143189.14,0,0
1734517,161,PAYMENT,15592.64,C399556179,0,0,M546874375,0,0,0,0
597671,33,CASH_OUT,7879.64,C1771720735,0,0,C651278028,16144.88,24024.52,0,0
4631168,329,PAYMENT,4970.09,C1132692936,0,0,M1972419453,0,0,0,0
2025512,180,CASH_IN,192352.29,C1758140077,26237947.77,26430300.06,C597021994,5823252.13,5630899.84,0,0
4663484,330,CASH_IN,83765.92,C919354259,633715.76,717481.68,C400603016,1277718.95,1193953.03,0,0
4280513,307,CASH_IN,296946.15,C1992510372,62225,359171.15,C1491791932,0,0,0,0
4433711,323,PAYMENT,54591.84,C1697808415,200366,145774.16,M1276548394,0,0,0,0
1693362,159,PAYMENT,21553.14,C1657041359,11121,0,M1141064394,0,0,0,0
3817099,281,CASH_OUT,68257.3,C1603557426,0,0,C1771106989,197547.65,265804.95,0,0
3812330,281,PAYMENT,16544.99,C1690593624,0,0,M1427092437,0,0,0,0
738997,38,CASH_OUT,45528.58,C1056316919,14528,0,C279772974,0,45528.58,0,0
1400345,139,CASH_IN,137254.83,C897597458,340254.66,477509.49,C651632764,440125.01,302870.18,0,0
4799762,345,CASH_OUT,53450.55,C1011844595,474,0,C1730382350,87213.23,140663.78,0,0
1767726,162,PAYMENT,27621.55,C375706619,22022,0,M141369577,0,0,0,0
1721016,160,PAYMENT,12958.32,C1728679657,0,0,M1114684515,0,0,0,0
870401,42,CASH_OUT,427341.85,C1157334772,0,0,C1318248262,733823.21,1161165.05,0,0
3072319,235,PAYMENT,6749.07,C772644844,19088.67,12339.6,M340720131,0,0,0,0
4570312,327,CASH_IN,118424.2,C941266394,1043199.51,1161623.71,C2023391825,2599105.01,2480680.81,0,0
3973970,297,TRANSFER,86452.42,C661572057,10452,0,C1423823355,0,86452.42,0,0
2275406,187,CASH_OUT,166580.44,C1611995371,0,0,C219669162,1135460.21,1353464.92,0,0
1596098,156,CASH_IN,367269.82,C1135534927,5262509.81,5629779.63,C793407646,9608119.98,9240850.17,0,0
5256568,372,CASH_IN,145321.79,C1423734582,8396521.89,8541843.68,C357431624,391917.73,246595.94,0,0
