step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_TRANSFER,origBalanceDiscrepancy,destBalanceDiscrepancy
11,427818.23,198219.0,0.0,0.0,427818.23,0,False,229599.22999999998,0.0
20,80828.54,0.0,0.0,5149991.49,5230820.04,0,False,80828.54,-0.009999999776482582
20,106069.89,301258.0,195188.11,263816.83,369886.72,0,True,0.0,5.820766091346741e-11
18,402832.9,11665.0,0.0,28550.98,431383.87,0,False,391167.9,0.010000000009313226
22,34643.49,0.0,0.0,346081.41,380724.9,0,False,34643.49,-5.820766091346741e-11
11,90439.05,5621.0,0.0,0.0,90439.05,0,False,84818.05,0.0
13,173235.36,0.0,0.0,403385.82,576621.17,0,False,173235.36,0.009999999892897904
20,148337.14,590.0,0.0,0.0,148337.14,0,False,147747.14,0.0
20,183366.26,506508.0,323141.74,8587151.52,8770517.78,0,False,0.0,0.0
11,49774.95,2065.0,0.0,623813.78,673588.73,0,True,47709.95,0.0
17,347005.99,0.0,0.0,801510.66,1148516.65,0,True,347005.99,0.0
12,40133.57,0.0,0.0,2454558.77,2494692.34,0,False,40133.57,0.0
11,445433.53,64873.0,0.0,0.0,513140.56,0,False,380560.53,-67707.02999999997
14,184992.16,59698.0,0.0,92517.38,277509.54,0,False,125294.16,5.820766091346741e-11
15,383685.12,6025.0,0.0,0.0,202560.67,0,False,377660.12,181124.44999999998
13,43491.05,0.0,0.0,5496667.98,5540159.03,0,False,43491.05,0.0
18,89499.56,0.0,0.0,121289.45,210789.01,0,False,89499.56,0.0
18,164253.24,0.0,0.0,403942.18,568195.43,0,False,164253.24,-0.010000000125728548
13,319767.96,320.0,0.0,0.0,319767.96,0,False,319447.96,0.0
20,64463.18,203215.0,138751.82,0.0,64463.18,0,True,0.0,0.0
15,13034.9,20262.0,7227.1,100617.52,113652.42,0,False,0.0,0.0
13,439488.16,0.0,0.0,703700.99,1143189.14,0,True,439488.16,0.010000000009313226
9,7879.64,0.0,0.0,16144.88,24024.52,0,False,7879.64,0.0
17,68257.3,0.0,0.0,197547.65,265804.95,0,False,68257.3,0.0
14,45528.58,14528.0,0.0,0.0,45528.58,0,False,31000.58,0.0
9,53450.55,474.0,0.0,87213.23,140663.78,0,False,52976.55,0.0
18,427341.85,0.0,0.0,733823.21,1161165.05,0,False,427341.85,0.010000000009313226
9,86452.42,10452.0,0.0,0.0,86452.42,0,True,76000.42,0.0
19,166580.44,0.0,0.0,1135460.21,1353464.92,0,False,166580.44,-51424.27000000002
19,282257.58,0.0,0.0,1221511.72,1503769.3,0,True,282257.58,0.0
18,21967.33,268399.94,246432.61,1025685.74,989087.18,0,False,0.0,58565.8899999999
20,453623.33,0.0,0.0,1612785.46,2066408.79,0,False,453623.33,0.0
17,166699.6,6340.0,0.0,1091519.08,1258218.69,0,False,160359.6,-0.009999999776482582
17,258750.42,20302.0,0.0,0.0,258750.42,0,False,238448.42,0.0
13,770938.56,0.0,0.0,1124518.45,1895457.01,0,True,770938.56,0.0
12,181452.47,28248.0,0.0,60916.66,242369.13,0,False,153204.47,0.0
14,362413.74,1574.0,0.0,0.0,362413.74,0,False,360839.74,0.0
13,231937.89,0.0,0.0,758186.4,881816.04,0,False,231937.89,108308.25
15,95628.04,8601.97,0.0,111096.17,206724.2,0,False,87026.06999999999,0.009999999980209395
15,235514.95,0.0,0.0,2853412.72,3088927.67,0,False,235514.95,4.656612873077393e-10
19,94882.87,0.0,0.0,974614.57,1069497.44,0,False,94882.87,0.0
19,456469.49,12555.0,0.0,2782294.99,3238764.48,0,True,443914.49,4.656612873077393e-10
20,67119.54,51941.0,0.0,61908.64,129028.18,0,False,15178.539999999994,0.0
23,35745.08,29988.0,0.0,390304.16,426049.24,0,False,5757.080000000002,0.0
22,216926.71,188242.39,0.0,1035680.98,1252607.69,0,False,28684.319999999978,0.0
9,226533.63,11917.0,0.0,150158.57,376692.2,0,False,214616.63,0.0
18,96223.17,33543.0,0.0,4749622.94,4845846.11,0,False,62680.17,0.0
20,173189.0,58811.0,0.0,1586927.59,1760116.59,0,True,114378.0,0.0
15,70036.21,18629.0,0.0,53887.41,123923.63,0,False,51407.21000000001,-0.00999999999476131
13,25801.03,10386.0,0.0,342882.48,368683.52,0,False,15415.029999999999,-0.010000000009313226
13,134464.65,0.0,0.0,7540080.58,7674545.23,0,False,134464.65,0.0
12,1504858.64,0.0,0.0,7457109.66,8296249.14,0,True,1504858.64,665719.1600000011
9,460468.87,0.0,0.0,2033123.44,2493592.32,0,True,460468.87,-0.009999999776482582
11,67392.79,0.0,0.0,2988190.93,2714078.05,0,False,67392.79,341505.6700000004
11,33239.6,25494.0,0.0,717412.61,750652.21,0,False,7745.5999999999985,0.0
12,452825.72,0.0,0.0,8826879.86,9279705.58,0,False,452825.72,0.0
18,44731.32,11411.0,0.0,0.0,44731.32,0,False,33320.32,0.0
14,144636.78,0.0,0.0,203612.96,348249.74,0,True,144636.78,0.0
11,838027.95,420.0,0.0,320832.01,1158859.96,0,False,837607.95,0.0
21,97678.17,41834.0,0.0,0.0,97678.17,0,False,55844.17,0.0
20,21541.8,178163.0,156621.2,3149185.57,3170727.37,0,False,0.0,-4.656612873077393e-10
21,124805.23,0.0,0.0,3519063.89,3643869.12,0,False,124805.23,0.0
20,51507.36,0.0,0.0,5015440.11,5066947.47,0,False,51507.36,9.313225746154785e-10
18,39060.82,6216.0,0.0,435635.31,474696.13,0,False,32844.82,0.0
14,105255.22,20470.0,0.0,1278632.91,1383888.13,0,False,84785.22,0.0
14,39539.6,0.0,0.0,6926451.39,6965990.99,0,False,39539.6,-9.313225746154785e-10
16,101542.77,0.0,0.0,438529.13,540071.9,0,False,101542.77,0.0
22,138912.61,134548.0,0.0,7858955.31,7997867.92,0,True,4364.609999999986,0.0
10,131881.19,0.0,0.0,2789425.08,2921306.27,0,False,131881.19,0.0
16,263567.86,84022.79,0.0,277839.26,541407.12,0,True,179545.07,0.0
22,745470.69,0.0,0.0,2987313.73,3732784.42,0,True,745470.69,0.0
11,46015.97,27743.0,0.0,813487.88,859503.84,0,False,18272.97,0.010000000009313226
12,309082.86,22397.0,0.0,433330.56,742413.42,0,False,286685.86,-1.1641532182693481e-10
18,178691.31,90281.0,0.0,0.0,178691.31,0,False,88410.31,0.0
18,51742.33,50710.0,0.0,139199.14,190941.46,0,False,1032.3300000000017,0.010000000038417056
21,193217.56,0.0,0.0,1305350.98,1498568.54,0,False,193217.56,0.0
19,178665.65,69435.0,0.0,341086.13,519751.79,0,False,109230.65,-0.009999999951105565
14,1413837.09,31680.0,0.0,34888.82,1448725.91,0,True,1382157.09,2.3283064365386963e-10
18,79889.52,10907.0,0.0,0.0,79889.52,0,False,68982.52,0.0
17,56250.22,107944.0,51693.78,396960.99,453211.21,0,False,0.0,-5.820766091346741e-11
21,84678.83,0.0,0.0,412130.04,496808.86,0,True,84678.83,0.010000000009313226
9,155911.72,0.0,0.0,460457.8,616369.53,0,False,155911.72,-0.010000000009313226
14,189921.06,182.0,0.0,0.0,189921.06,0,False,189739.06,0.0
20,234053.31,44794.0,0.0,231378.44,465431.74,0,False,189259.31,0.010000000009313226
14,94969.4,11630.0,0.0,65681.31,160650.7,0,False,83339.4,0.009999999980209395
10,355660.32,0.0,0.0,1975953.75,2331614.06,0,False,355660.32,0.009999999776482582
